Sensor: mmc5603x Magnetometer Non-wakeup
Vendor: memsic
TimestampMag [ns]; MagX [uT]; MagY [uT]; MagZ [uT]
7389159223253;41.1031;25.0357;14.2849;
7389169223253;41.2067;25.1198;14.7592;
7389179223253;41.4948;25.1358;13.8956;
7389189223253;41.2988;25.0481;14.3831;
7389199223253;39.5558;25.0957;15.6018;
7389209223253;40.1356;24.9790;15.8158;
7389219223253;39.5442;24.7894;16.0187;
7389229223253;39.4481;24.7841;16.3065;
7389239223253;40.9860;24.5693;14.5243;
7389249223253;40.2147;24.6756;14.9823;
7389259223253;39.4471;24.7836;16.1140;
7389269223253;40.2215;24.8292;14.9663;
7389279223253;40.9768;24.4897;13.4734;
7389289223253;40.9876;24.7203;13.5458;
7389299223253;40.5091;24.8449;14.0065;
7389309223253;41.9685;25.0090;12.5686;
7389319223253;41.3698;24.6656;12.6911;
7389329223253;41.6467;24.3755;12.3408;
7389339223253;41.0604;24.2635;12.8244;
7389349223253;42.2250;24.2581;12.2660;
7389359223253;42.3218;24.3390;11.4889;
7389369223253;42.3218;24.3390;11.4889;
7389379223253;41.8325;24.2328;11.8773;
7389389223253;42.1152;24.0959;11.3184;
7389399223253;41.3500;24.2803;12.2497;
7389409223253;42.0300;24.3212;11.6786;
7389419223253;42.6966;24.1303;10.5539;
7389429223253;42.5006;24.0426;11.0413;
7389439223253;42.1981;23.7942;11.1587;
7389449223253;42.5898;23.8943;10.7694;
7389459223253;43.1730;23.8545;10.9755;
7389469223253;42.5982;24.0487;11.0422;
7389479223253;42.6813;23.8223;10.2970;
7389489223253;42.8831;23.9128;10.8684;
7389499223253;41.9126;23.9299;11.2362;
7389509223253;41.9986;23.6297;11.6541;
7389519223253;41.8148;23.8485;11.8208;
7389529223253;41.6993;23.3829;12.3490;
7389539223253;42.2920;23.6482;11.7531;
7389549223253;42.3917;23.8056;10.8718;
7389559223253;42.4800;23.5818;11.0891;
7389569223253;43.0517;23.3860;10.4448;
7389579223253;42.4721;23.4277;10.9125;
7389589223253;42.8454;23.0679;10.9561;
7389599223253;42.1659;23.0272;11.6234;
7389609223253;41.8807;23.0878;12.3828;
7389619223253;41.6911;23.1535;12.7580;
7389629223253;41.5837;22.9172;12.8772;
7389639223253;42.2606;22.9567;11.7286;
7389649223253;41.9602;22.7093;12.2310;
7389659223253;42.4518;22.8918;11.6422;
7389669223253;42.1593;22.7985;12.3212;
7389679223253;41.5829;22.8417;13.3665;
7389689223253;42.1574;22.7225;12.6179;
7389699223253;41.5898;22.9953;13.3505;
7389709223253;43.0245;22.6965;11.1903;
7389719223253;42.8195;22.4542;11.3086;
7389729223253;42.7330;22.6038;12.0618;
7389739223253;42.5407;22.6682;11.9557;
7389749223253;42.4368;22.5088;12.0670;
7389759223253;42.2369;22.3440;12.4662;
7389769223253;42.3579;22.8875;12.3150;
7389779223253;42.5452;22.7455;12.1403;
7389789223253;42.3413;22.5037;12.4511;
7389799223253;42.6407;22.7506;11.7562;
7389809223253;42.4379;22.5093;12.2596;
7389819223253;42.7296;22.5270;12.0698;
7389829223253;43.1163;22.5495;11.3997;
7389839223253;42.2624;22.8824;12.6991;
7389849223253;41.7773;22.9286;12.5903;
7389859223253;42.6505;22.9807;11.6360;
7389869223253;42.7217;22.3729;11.8932;
7389879223253;42.3450;22.6558;11.8577;
7389889223253;42.5489;22.8976;11.5468;
7389899223253;42.7441;22.9098;11.5487;
7389909223253;42.8354;22.7625;11.6618;
7389919223253;42.5476;22.8218;11.9398;
7389929223253;42.9243;22.6892;10.7081;
7389939223253;42.8322;22.7609;11.0842;
7389949223253;43.2279;22.9381;10.7832;
7389959223253;43.2102;22.5538;10.7268;
7389969223253;42.6552;23.1333;11.2351;
7389979223253;42.6520;23.1318;10.6575;
7389989223253;43.2534;23.4765;11.0162;
7389999223253;42.5655;23.2814;11.4107;
7390009223253;42.5684;23.3579;11.3065;
7390019223253;42.3748;23.3465;11.5934;
7390029223253;42.9567;23.3812;10.9251;
7390039223253;42.5684;23.3579;11.3065;
7390049223253;43.2418;23.3206;10.1658;
7390059223253;42.6639;23.3630;10.9224;
7390069223253;42.2036;23.8721;11.5358;
7390079223253;43.1551;23.5452;10.2373;
7390089223253;42.9746;23.8408;10.3960;
7390099223253;43.4523;23.6407;10.4246;
